718,12 Rounds,
719,The Spirit,
720,Chef,
721,Sin City: A Dame to Kill For,
722,College Road Trip,
725,Revolutionary Road,
726,Masterminds,
727,El secreto de sus ojos,
728,Street Fighter: The Legend of Chun-Li,
729,Knight and Day,
730,Dallas Buyers Club,
731,Movie 43,
732,Premonition,
733,Man Down,
735,Neighbors,
737,The Blackcoat's Daughter,
723,Pirates of the Caribbean: At World's End,adventure
736,Seven Pounds,adventure
617,You Don't Mess with the Zohan,comedy
642,Mamma Mia!,comedy
615,The Expendables,drama
628,The Book of Eli,drama
672,Shame,drama
678,The Mist,drama
675,Sucker Punch,fantasy
607,Resident Evil: Afterlife,horror
710,Grindhouse,thriller
738,Tyler Perry's Meet the Browns,
739,Manchester by the Sea,
740,Eye in the Sky,
741,Ouija: Origin of Evil,
742,Godzilla,
743,Chuck,
745,Bacalaureat,
746,Kung Fu Panda 3,
748,The Hobbit: The Desolation of Smaug,
749,Srpski film,
750,A Serious Man,
751,Let Me Make You a Martyr,
752,Transcendence,
753,G-Force,
754,Armored,
755,The Blind Side,
756,A Nightmare on Elm Street,
758,Edge of Tomorrow,
759,Date Night,
760,Letters to Juliet,
761,Arrival,
762,Mad Max: Fury Road,
763,Moana,
765,5- 25- 77,
766,Prometheus,
767,Love,
768,First Sunday,
769,Warm Bodies,
770,Vantage Point,
771,Grown Ups 2,
772,The Amazing Spider-Man 2,
773,The Duchess,
774,Triple 9,
775,Guardians of the Galaxy,
776,Smart People,
778,Indignation,
779,The Last Song,
781,John Carter,
782,Before I Wake,
783,Lions for Lambs,
784,Midnight Special,
785,Get Hard,
786,Untraceable,
788,Extract,
789,Django Unchained,
790,Transporter 3,
791,Did You Hear About the Morgans?,
792,Inferno,
793,The Hateful Eight,
795,Why Did I Get Married Too?,
796,Dark Places,
798,Fast & Furious,
800,Journey to the Center of the Earth,
801,Despicable Me 2,
802,Bad Moms,
804,Home,
805,The Hobbit: The Battle of the Five Armies,
806,In the Land of Women,
807,A Quiet Passion,
808,Demolition,
809,The Boy,
810,Taking Woodstock,
811,Martyrs,
812,Shin Gojira,
813,Turbo Kid,
814,The Roommate,
815,The Muppets,
816,"Hail, Caesar!",
817,Pitch Perfect,
818,Killers,
819,Bridge of Spies,
821,The Darjeeling Limited,
822,The Departed,
823,Diary of a Wimpy Kid 2: Rodrick Rules,
824,Iron Man Three,
826,Red State,
827,Hotel Transylvania 2,
828,Dear White People,
830,The Change Up,
831,Mean Dreams,
832,"Be Kind, Rewind",
833,Drive Angry,
834,27 Dresses,
835,Scouts Guide to the Zombie Apocalypse,
836,X-Men: Days of Future Past,
837,The Do-Over,
839,Gold,
840,Project X,
841,Pet,
842,Independence Day: Resurgence,
843,Shark Night 3D,
844,Mindhorn,
845,Wreck-It Ralph,
846,Imperium,
847,Taare Zameen Par,
848,Florence Foster Jenkins,
850,Baby Mama,
853,Cars 2,
855,Harry Potter and the Deathly Hallows Part 1,
856,Good Luck Chuck,
857,Captain Phillips,
858,The Maze Runner,
859,The Eagle,
861,Leatherheads,
862,The Big Year,
863,Jonah Hex,
865,Faster	,
866,Spectral,
867,Miss Peregrine's Home for Peculiar Children,
868,Dolphin Tale,
869,Bronson,
870,Walk Hard: The Dewey Cox Story,
871,Twin Peaks: The Missing Pieces,
872,Before We Go,
873,The Shallows,
874,The Girl on the Train,
875,The Nice Guys,
876,Tower Heist,
877,Fame,
878,Bad Teacher,
879,Gone Baby Gone,
880,After Earth,
881,Taken 3,
882,Escape Plan,
883,Meet Dave,
884,Love Happens,
885,The Place Beyond the Pines,
797,Pandorum,adventure
849,Final Destination 5,adventure
864,Indiana Jones and the Kingdom of the Crystal Skull,adventure
777,Bridesmaids,comedy
829,The House Bunny,comedy
860,She's Out of My League,comedy
825,Body of Lies,drama
851,Easy A,drama
852,The A-Team,drama
744,Love & Other Drugs,romance
838,All Good Things,romance
854,Star Trek,sci-fi
780,Insidious,thriller
799,Shutter Island,thriller
887,Speed Racer,
888,Kicks,
889,Takers,
891,Denial,
892,I.T.,
893,What's Your Number?,
894,Case 39,
895,The Girl With The Dragon Tattoo,
896,Albert Nobbs,
897,Burnt,
899,The Conjuring,
900,The Losers,
901,The Intern,
902,The Grand Budapest Hotel,
903,Dance Flick,
904,Iris,
905,The Founder,
906,True Crimes,
